Key Name,Friendly Name,Short Name,Legend (CP437),Xpos,Ypos,Xsize,Ysize,Usage Page,Usage ID,PS/2 Set 1 Make,PS/2 Set 1 Break,PS/2 Set 2 Make,PS/2 Set 2 Break,,
Keyboard Cancel,,,,,,,,07,9B,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9B,Keyboard Cancel
Keyboard Clear,,,,,,,,07,9C,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9C,Keyboard Clear
Keyboard Prior,,,,,,,,07,9D,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9D,Keyboard Prior
Keyboard Return,,,,,,,,07,9E,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9E,Keyboard Return
Keyboard Separator,,,,,,,,07,9F,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,9F,Keyboard Separator
Keyboard Out,,,,,,,,07,A0,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A0,Keyboard Out
Keyboard Oper,,,,,,,,07,A1,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A1,Keyboard Oper
Keyboard Clear/Again,,,,,,,,07,A2,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A2,Keyboard Clear/Again
Keyboard CrSel/Props,,,,,,,,07,A3,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A3,Keyboard CrSel/Props
Keyboard ExSel,,,,,,,,07,A4,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,A4,Keyboard ExSel
Keypad 00,,,,,,,,,B0,,,,,,Keypad 00
Keypad 000,,,,,,,,,B1,,,,,,Keypad 000
Thousands Separator31,,,,,,,,,B2,,,,,,Thousands Separator31
Decimal Separator31,,,,,,,,,B3,,,,,,Decimal Separator31
Currency Unit32,,,,,,,,,B4,,,,,,Currency Unit32
Currency Sub-unit32,,,,,,,,,B5,,,,,,Currency Sub-unit32
Keypad (,,,,,,,,,B6,,,,,,Keypad (
Keypad ),,,,,,,,,B7,,,,,,Keypad )
Keypad {,,,,,,,,,B8,,,,,,Keypad {
Keypad },,,,,,,,,B9,,,,,,Keypad }
Keypad Tab,,,,,,,,,BA,,,,,,Keypad Tab
Keypad Backspace,,,,,,,,,BB,,,,,,Keypad Backspace
Keypad A,,,,,,,,,BC,,,,,,Keypad A
Keypad B,,,,,,,,,BD,,,,,,Keypad B
Keypad C,,,,,,,,,BE,,,,,,Keypad C
Keypad D,,,,,,,,,BF,,,,,,Keypad D
Keypad E,,,,,,,,,C0,,,,,,Keypad E
Keypad F,,,,,,,,,C1,,,,,,Keypad F
Keypad XOR,,,,,,,,,C2,,,,,,Keypad XOR
Keypad ∧,,,,,,,,,C3,,,,,,Keypad ∧
Keypad %,,,,,,,,,C4,,,,,,Keypad %
Keypad <,,,,,,,,,C5,,,,,,Keypad <
Keypad >,,,,,,,,,C6,,,,,,Keypad >
Keypad &,,,,,,,,,C7,,,,,,Keypad &
Keypad &&,,,,,,,,,C8,,,,,,Keypad &&
Keypad |,,,,,,,,,C9,,,,,,Keypad |
Keypad ||,,,,,,,,,CA,,,,,,Keypad ||
Keypad :,,,,,,,,,CB,,,,,,Keypad :
Keypad #,,,,,,,,,CC,,,,,,Keypad #
Keypad Space,,,,,,,,,CD,,,,,,Keypad Space
Keypad @,,,,,,,,,CE,,,,,,Keypad @
Keypad !,,,,,,,,,CF,,,,,,Keypad !
Keypad Memory Store,,,,,,,,,D0,,,,,,Keypad Memory Store
Keypad Memory Recall,,,,,,,,,D1,,,,,,Keypad Memory Recall
Keypad Memory Clear,,,,,,,,,D2,,,,,,Keypad Memory Clear
Keypad Memory Add,,,,,,,,,D3,,,,,,Keypad Memory Add
Keypad Memory Subtract,,,,,,,,,D4,,,,,,Keypad Memory Subtract
Keypad Memory Multiply,,,,,,,,,D5,,,,,,Keypad Memory Multiply
Keypad Memory Divide,,,,,,,,,D6,,,,,,Keypad Memory Divide
Keypad +/-,,,,,,,,,D7,,,,,,Keypad +/-
Keypad Clear,,,,,,,,,D8,,,,,,Keypad Clear
Keypad Clear Entry,,,,,,,,,D9,,,,,,Keypad Clear Entry
Keypad Binary,,,,,,,,,DA,,,,,,Keypad Binary
Keypad Octal,,,,,,,,,DB,,,,,,Keypad Octal
Keypad Decimal,,,,,,,,,DC,,,,,,Keypad Decimal
Keypad Hexadecimal,,,,,,,,,DD,,,,,,Keypad Hexadecimal
Reserved,,,,,,,,,DE-DF,,,,,,Reserved
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Left Control,Control (Left),LCTRL,43 54 4C,1,18,3,1,07,E0,1D,9D,14,F0 14,E0,Keyboard LeftControl
Left Shift,Shift (Left),LSHIFT,53 48 49 0A 5E,1,15,3,2,07,E1,2A,AA,12,F0 12,E1,Keyboard LeftShift
Left Alt,Alt (Left),LALT,41 4C 54,9,18,3,1,07,E2,38,B8,11,F0 11,E2,Keyboard LeftAlt
Left GUI,GUI (Left),LGUI,47 55 49,5,18,3,1,07,E3,E0 5B,E0 DB,E0 1F,E0 F0 1F,E3,Keyboard Left GUI
Right Control,Control (Right),RCTRL,43 54 52 4C,29,18,4,1,07,E4,E0 1D,E0 9D,E0 14,E0 F0 14,E4,Keyboard RightControl
Right Shift,Shift (Right),RSHIFT,53 48 49 0A 5E,30,15,3,2,07,E5,36,B6,59,F0 59,E5,Keyboard RightShift
Right Alt,Alt (Right),RALT,41 4C 54,17,18,3,1,07,E6,E0 38,E0 B8,E0 11,E0 F0 11,E6,Keyboard RightAlt
Right GUI,GUI (Right),RGUI,47 55 49,21,18,3,1,07,E7,E0 5C,E0 DC,E0 27,E0 F0 27,E7,Keyboard Right GUI
RESERVED,,,,,,,,07,E8-FFFF,RESERVED,RESERVED,RESERVED,RESERVED,,
Scan Next Track,Media Next Track,MEDIANEXT,10 10,71,5,2,1,0C,00B5,E0 19,E0 99,E0 4D,E0 F0 4D,,
Scan Previous Track,Media Previous Track,MEDIAPREV,11 11,63,5,2,1,0C,00B6,E0 10,E0 90,E0 15,E0 F0 15,,
Stop,Media Stop,MEDIASTOP,53,66,5,1,1,0C,00B7,E0 24,E0 A4,E0 3B,E0 F0 3B,,
Play/ Pause,Media Play/Pause,MEDIANPLAY,10 DE,68,5,2,1,0C,00CD,E0 22,E0 A2,E0 34,E0 F0 34,,
Mute,Media Mute,MEDIAMUTE,4D,78,5,1,1,0C,0E+0,E0 20,E0 A0,E0 23,E0 F0 23,,
Bass Boost,,BASSBOOST,,,,,,0C,0E+0,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,,
Loudness,,LOUDNESS,,,,,,0C,0E+0,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,,
Volume Up,Media Volume Up,VOLUP,1E,74,5,1,1,0C,0E+0,E0 30,E0 B0,E0 32,E0 F0 32,,
Volume Down,Media Volume Down,VOLDN,1F,76,5,1,1,0C,00EA,E0 2E,E0 AE,E0 21,E0 F0 21,,
Bass Up,,BASSUP,,,,,,0C,0152,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,,
Bass Down,,BASSDN,,,,,,0C,0153,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,,
Treble Up,,TREBUP,,,,,,0C,0154,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,,
Treble Down,,TREBDN,,,,,,0C,0155,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,,
Media Select,Media Select,MEDSELECT,53 45 4C,63,7,3,1,0C,0183,E0 6D,E0 ED,E0 50,E0 F0 50,,
Mail,App Mail,APPMAIL,4D 41 49 4C,67,7,4,1,0C,018A,E0 6C,E0 EC,E0 48,E0 F0 48,,
Calculator,App Calculator,APPCALC,43 41 4C 43,72,7,4,1,0C,0192,E0 21,E0 A1,E0 2B,E0 F0 2B,,
My Computer,App My Computer,APPMYCOMP,4D 43,77,7,2,1,0C,0194,E0 6B,E0 EB,E0 40,E0 F0 40,,
WWW Search,WWW Search,WWWSEARCH,53 45 41 52 43 48,66,10,6,1,0C,0221,E0 65,E0 E5,E0 10,E0 F0 10,,
WWW Home,WWW Home,WWWHOME,48 4F 4D 45,73,10,6,1,0C,0223,E0 32,E0 B2,E0 3A,E0 F0 3A,,
WWW Back,WWW Back,WWWBACK,11 11,66,12,2,1,0C,0224,E0 6A,E0 EA,E0 38,E0 F0 38,,
WWW Forward,WWW Forward,WWWFORWARD,10 10,70,12,2,1,0C,0225,E0 69,E0 E9,E0 30,E0 F0 30,,
WWW Stop,WWW Stop,WWWSTOP,53 54 4F 50,73,12,6,1,0C,0226,E0 68,E0 E8,E0 28,E0 F0 28,,
WWW Refresh,WWW Refresh,WWWREFRESH,52 46 52 45 53 48,66,14,6,1,0C,0227,E0 67,E0 E7,E0 20,E0 F0 20,,
WWW Favorites,WWW Favorites,WWWFAVE,46 41 56 45,73,14,6,1,0C,022A,E0 66,E0 E6,E0 18,E0 F0 18,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,00,80,DO NOT USE,DO NOT USE,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,60,E0,47,F0 47,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,61,E1,4F,F0 4F,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,7A,FA,65,F0 65,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,7C,FC,68,F0 68,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,7F,FF,6E,F0 6E,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,E0 60,E0 E0,E0 47,E0 F0 47,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,E0 61,E0 E1,E0 4F,E0 F0 4F,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,E0 7A,E0 FA,E0 65,E0 F0 65,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,E0 7B,E0 FB,E0 67,E0 F0 67,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,E0 7C,E0 FC,E0 68,E0 F0 68,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,E0 7D,E0 FD,E0 6A,E0 F0 6A,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,E0 7E,E0 FE,E0 6D,E0 F0 6D,,
DO NOT USE,,,,,,,,DO NOT USE,DO NOT USE,E0 7F,E0 FF,E0 6E,E0 F0 6E,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,54,D4,7F,F0 7F,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,54,D4,84,F0 84,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,55,D5,60,F0 60,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,5A,DA,17,F0 17,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,5B,DB,1F,F0 1F,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,62,E2,56,F0 56,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,63,E3,5E,F0 5E,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,64,E4,08,F0 08,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,65,E5,10,F0 10,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,66,E6,18,F0 18,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,67,E7,20,F0 20,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,68,E8,28,F0 28,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,69,E9,30,F0 30,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,6A,EA,38,F0 38,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,6B,EB,40,F0 40,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,6C,EC,48,F0 48,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,6D,ED,50,F0 50,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,6E,EE,57,F0 57,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,6F,EF,6F,F0 6F,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,71,F1,19,F0 19,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,72,F2,39,F0 39,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,74,F4,53,F0 53,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,75,F5,5C,F0 5C,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 01,E0 81,E0 76,E0 F0 76,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 02,E0 82,E0 16,E0 F0 16,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 03,E0 83,E0 1E,E0 F0 1E,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 04,E0 84,E0 26,E0 F0 26,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 05,E0 85,E0 25,E0 F0 25,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 06,E0 86,E0 2E,E0 F0 2E,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 07,E0 87,E0 36,E0 F0 36,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 08,E0 88,E0 3D,E0 F0 3D,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 09,E0 89,E0 3E,E0 F0 3E,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 0A,E0 0A,E0 46,E0 F0 46,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 0B,E0 0B,E0 45,E0 F0 45,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 0C,E0 0C,E0 4E,E0 F0 4E,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 0D,E0 0D,E0 55,E0 F0 55,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 0E,E0 0E,E0 66,E0 F0 66,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 0F,E0 0F,E0 0D,E0 F0 0D,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 11,E0 91,E0 1D,E0 F0 1D,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 12,E0 92,E0 24,E0 F0 24,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 13,E0 93,E0 2D,E0 F0 2D,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 14,E0 94,E0 2C,E0 F0 2C,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 15,E0 95,E0 35,E0 F0 35,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 16,E0 96,E0 3C,E0 F0 3C,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 17,E0 97,E0 43,E0 F0 43,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 18,E0 98,E0 44,E0 F0 44,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 1A,E0 9A,E0 54,E0 F0 54,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 1B,E0 9B,E0 5B,E0 F0 5B,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 1E,E0 9E,E0 1C,E0 F0 1C,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 1F,E0 9F,E0 1B,E0 F0 1B,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 23,E0 A3,E0 33,E0 F0 33,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 25,E0 A5,E0 42,E0 F0 42,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 26,E0 A6,E0 4B,E0 F0 4B,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 27,E0 A7,E0 4C,E0 F0 4C,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 28,E0 A8,E0 52,E0 F0 52,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 29,E0 A9,E0 0E,E0 F0 0E,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 2A,E0 AA,E0 12,E0 F0 12,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 2B,E0 AB,E0 5D,E0 F0 5D,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 2C,E0 AC,E0 1A,E0 F0 1A,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 2D,E0 AD,E0 22,E0 F0 22,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 2F,E0 AF,E0 2A,E0 F0 2A,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 31,E0 B1,E0 31,E0 F0 31,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 33,E0 B3,E0 41,E0 F0 41,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 34,E0 B4,E0 49,E0 F0 49,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 36,E0 B6,E0 59,E0 F0 59,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 39,E0 B9,E0 29,E0 F0 29,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 3A,E0 BA,E0 58,E0 F0 58,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 3B,E0 BB,E0 05,E0 F0 05,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 3C,E0 BC,E0 06,E0 F0 06,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 3D,E0 BD,E0 04,E0 F0 04,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 3E,E0 BE,E0 0C,E0 F0 0C,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 3F,E0 BF,E0 03,E0 F0 03,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 40,E0 C0,E0 0B,E0 F0 0B,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 41,E0 C1,E0 02,E0 F0 02,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 42,E0 C2,E0 83,E0 F0 83,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 43,E0 C3,E0 0A,E0 F0 0A,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 44,E0 C4,E0 01,E0 F0 01,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 45,E0 C5,E0 09,E0 F0 09,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 4A,E0 CA,E0 7B,E0 F0 7B,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 4C,E0 CC,E0 73,E0 F0 73,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 4E,E0 CE,E0 79,E0 F0 79,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 54,E0 D4,E0 7F,E0 F0 7F,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 54,E0 D4,E0 84,E0 F0 84,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 55,E0 D5,E0 60,E0 F0 60,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 56,E0 D6,E0 61,E0 F0 61,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 57,E0 D7,E0 78,E0 F0 78,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 58,E0 D8,E0 07,E0 F0 07,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 59,E0 D9,E0 0F,E0 F0 0F,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 5A,E0 DA,E0 17,E0 F0 17,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 62,E0 E2,E0 56,E0 F0 56,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 64,E0 E4,E0 08,E0 F0 08,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 6E,E0 EE,E0 57,E0 F0 57,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 6F,E0 EF,E0 6F,E0 F0 6F,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 70,E0 F0,E0 13,E0 F0 13,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 71,E0 F1,E0 19,E0 F0 19,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 72,E0 F2,E0 39,E0 F0 39,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 73,E0 F3,E0 51,E0 F0 51,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 74,E0 F4,E0 53,E0 F0 53,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 75,E0 F5,E0 5C,E0 F0 5C,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 76,E0 F6,E0 5F,E0 F0 5F,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 77,E0 F7,E0 62,E0 F0 62,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 78,E0 F8,E0 63,E0 F0 63,,
UNASSIGNED,,,,,,,,UNASSIGNED,UNASSIGNED,E0 79,E0 F9,E0 64,E0 F0 64,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Enter (Keypad/BIOS),,45 4E 0A 54 52,57,17,2,2,,,,,,,,
,Forward Slash (Keypad/BIOS),,2F,51,6,2,1,,,,,,,,
,Enter (Keypad/Amstrad),,45 4E 0A 54 52,57,17,2,2,,,,,,,,
,Forwardspace (Amstrad),,44 45 4C,35,12,3,2,,,,,,,,